timestamp,instrument,direction,size,entry,current,pnl,stop_loss,take_profit,pct_to_tp,action
2026-03-12_1200,NZDUSD,SELL,-1000.0,0.59069,0.5903449999999999,0.35,0,0,0.0,ratchet_trail
2026-03-12_1205,NZDUSD,SELL,-1000.0,0.59069,0.58988,0.81,0,0,0.0,ratchet_trail
2026-03-12_1210,NZDUSD,SELL,-1000.0,0.59069,0.5897049999999999,0.99,0,0,0.0,ratchet_trail
2026-03-12_1215,NZDUSD,SELL,-1000.0,0.59069,0.5898749999999999,0.82,0,0,0.0,ratchet_trail
2026-03-12_1220,NZDUSD,SELL,-1000.0,0.59069,0.589415,1.28,0,0,0.0,ratchet_trail
2026-03-12_1225,NZDUSD,SELL,-1000.0,0.59069,0.58934,1.35,0,0,0.0,ratchet_trail
2026-03-12_1245,NZDUSD,SELL,-1000.0,0.59069,0.58944,1.25,0,0,0.0,ratchet_trail
2026-03-12_1310,NZDUSD,SELL,-1000.0,0.59069,0.589505,1.19,0,0,0.0,ratchet_trail
2026-03-12_1310,NZDUSD,SELL,-1000.0,0.58968,0.589505,0.18,0,0,0.0,ratchet_trail
2026-03-12_1315,NZDUSD,SELL,-1000.0,0.59069,0.58892,1.77,0,0,0.0,ratchet_trail
2026-03-12_1315,NZDUSD,SELL,-1000.0,0.58968,0.58892,0.76,0,0,0.0,ratchet_trail
2026-03-12_1320,NZDUSD,SELL,-1000.0,0.59069,0.5886450000000001,2.04,0,0,0.0,ratchet_trail
2026-03-12_1320,NZDUSD,SELL,-1000.0,0.58968,0.5886450000000001,1.03,0,0,0.0,ratchet_trail
2026-03-12_1325,NZDUSD,SELL,-1000.0,0.59069,0.58855,2.14,0,0,0.0,ratchet_trail
2026-03-12_1325,NZDUSD,SELL,-1000.0,0.58968,0.58855,1.13,0,0,0.0,ratchet_trail
2026-03-12_1330,NZDUSD,SELL,-1000.0,0.59069,0.588635,2.06,0,0,0.0,ratchet_trail
2026-03-12_1330,NZDUSD,SELL,-1000.0,0.58968,0.588635,1.04,0,0,0.0,ratchet_trail
2026-03-12_1335,NZDUSD,SELL,-1000.0,0.59069,0.58846,2.23,0,0,0.0,ratchet_trail
2026-03-12_1335,NZDUSD,SELL,-1000.0,0.58968,0.58846,1.22,0,0,0.0,ratchet_trail
2026-03-12_1340,NZDUSD,SELL,-1000.0,0.59069,0.588615,2.08,0,0,0.0,ratchet_trail
2026-03-12_1340,NZDUSD,SELL,-1000.0,0.58968,0.588615,1.06,0,0,0.0,ratchet_trail
2026-03-12_1345,NZDUSD,SELL,-2000.0,0.59069,0.588275,3.82,0,0,0.0,ratchet_trail
2026-03-12_1350,NZDUSD,SELL,-2000.0,0.59069,0.588295,3.78,0,0,0.0,ratchet_trail
2026-03-12_1355,NZDUSD,SELL,-2000.0,0.59069,0.587685,5.0,0,0,0.0,ratchet_trail
2026-03-12_1400,NZDUSD,SELL,-2000.0,0.59069,0.587615,5.140000000000001,0,0,0.0,ratchet_trail
2026-03-12_1405,NZDUSD,SELL,-2000.0,0.59069,0.5878,4.77,0,0,0.0,ratchet_trail
