timestamp,instrument,price,score,max_score,direction,conviction,bb_touch,rsi_extreme,bb_squeeze,session_quality
2026-03-18_1119,AUDUSD,0.7109,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-18_1134,AUDUSD,0.7101,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-18_1149,AUDUSD,0.7097,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-18_1204,AUDUSD,0.7098,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-18_1219,AUDUSD,0.708,0.0,14.0,,,0.0,1.0,0.0,1.0
2026-03-18_1234,AUDUSD,0.7072,0.0,14.0,,,0.0,1.0,0.0,1.0
2026-03-18_1249,AUDUSD,0.7064,0.0,14.0,,,0.0,2.0,0.0,1.0
2026-03-18_1304,AUDUSD,0.7058,0.0,14.0,,,0.0,2.0,0.0,2.0
2026-03-18_1319,AUDUSD,0.7051,0.0,14.0,,,0.0,2.0,0.0,2.0
2026-03-18_1334,AUDUSD,,,,,,,,,
2026-03-18_1349,AUDUSD,0.7065,0.0,14.0,,,0.0,1.0,0.0,2.0
2026-03-18_1404,AUDUSD,0.7068,0.0,14.0,,,0.0,1.0,0.0,2.0
2026-03-18_1419,AUDUSD,0.7067,0.0,14.0,,,0.0,1.0,0.0,2.0
2026-03-18_1434,AUDUSD,0.7066,0.0,14.0,,,0.0,1.0,0.0,2.0
2026-03-18_1449,AUDUSD,0.7071,0.0,14.0,,,0.0,0.0,0.0,2.0
2026-03-18_1504,AUDUSD,0.7082,0.0,14.0,,,0.0,0.0,0.0,2.0
2026-03-18_1519,AUDUSD,0.7082,0.0,14.0,,,0.0,0.0,0.0,2.0
2026-03-18_1534,AUDUSD,0.7082,0.0,14.0,,,0.0,0.0,0.0,2.0
2026-03-18_1549,AUDUSD,0.7082,0.0,14.0,,,0.0,0.0,0.0,2.0
2026-03-18_1604,AUDUSD,0.7079,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-18_1619,AUDUSD,0.708,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-18_1634,AUDUSD,0.7081,0.0,14.0,,,0.0,-1.0,0.0,1.0
2026-03-18_1649,AUDUSD,0.7078,0.0,14.0,,,0.0,-0.5,0.0,1.0
2026-03-18_1704,AUDUSD,0.7079,0.0,14.0,,,0.0,-0.5,0.0,1.0
2026-03-18_1719,AUDUSD,0.7076,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-18_1734,AUDUSD,0.7078,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-18_1749,AUDUSD,0.7082,0.0,14.0,,,0.0,-0.5,0.0,1.0
2026-03-18_1804,AUDUSD,0.7084,0.0,14.0,,,0.0,-0.5,0.0,1.0
2026-03-18_1819,AUDUSD,0.7078,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-18_1834,AUDUSD,0.7071,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-18_1849,AUDUSD,0.7065,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-18_1904,AUDUSD,0.7051,0.0,14.0,,,0.0,1.5,0.0,1.0
2026-03-18_1919,AUDUSD,0.705,0.0,14.0,,,0.0,1.0,0.0,1.0
2026-03-18_1934,AUDUSD,0.7049,10.84,14.0,BUY,MEDIUM,2.0,1.5,2.0,1.0
2026-03-18_2004,AUDUSD,0.7036,0.0,14.0,,,0.0,2.0,0.0,1.0
2026-03-18_2019,AUDUSD,0.7029,0.0,14.0,,,0.0,2.0,0.0,1.0
2026-03-18_2034,AUDUSD,0.702,0.0,14.0,,,0.0,2.0,0.0,1.0
2026-03-18_2049,AUDUSD,0.7024,0.0,14.0,,,0.0,2.0,0.0,1.0
2026-03-18_2104,AUDUSD,0.7024,0.0,14.0,,,0.0,2.0,0.0,-1.0
2026-03-18_2119,AUDUSD,0.703,0.0,14.0,,,0.0,2.0,0.0,-1.0
2026-03-18_2134,AUDUSD,0.7034,0.0,14.0,,,0.0,2.0,0.0,-1.0
2026-03-18_2149,AUDUSD,0.7035,0.0,14.0,,,0.0,1.5,0.0,-1.0
2026-03-19_0704,AUDUSD,0.7035,0.0,14.0,,,0.0,0.5,0.0,1.0
2026-03-19_0719,AUDUSD,0.7043,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_0734,AUDUSD,0.7038,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_0819,AUDUSD,0.7035,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_0834,AUDUSD,0.7036,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_0849,AUDUSD,0.7038,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_0904,AUDUSD,0.7047,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_0919,AUDUSD,0.7048,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_0934,AUDUSD,0.7047,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_0949,AUDUSD,0.7054,0.0,14.0,,,0.0,-0.5,0.0,1.0
2026-03-19_1004,AUDUSD,0.7053,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_1019,AUDUSD,0.7054,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_1034,AUDUSD,0.7052,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_1049,AUDUSD,0.7053,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_1104,AUDUSD,0.7051,0.0,14.0,,,0.0,-0.5,0.0,1.0
2026-03-19_1119,AUDUSD,0.7042,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_1134,AUDUSD,0.704,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_1149,AUDUSD,,,,,,,,,
2026-03-19_1204,AUDUSD,0.7036,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_1219,AUDUSD,0.7038,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-19_1234,AUDUSD,0.702,0.0,14.0,,,2.0,0.0,2.0,1.0
2026-03-19_1249,AUDUSD,0.7017,0.0,14.0,,,0.0,0.0,0.0,1.0
